ad_id,video_id,labeller_id,user_upload,ad_or_no,ad_brand,product,food_or_no
1,pFsj5PUy4Xg,10,0,TRUE,,KIA,FALSE
2,GybvOrEJk_4,10,0,TRUE,,Walmart,FALSE
3,_XU34YuhGuA,10,0,TRUE,,Walmart,FALSE
4,ZlHBQtYEdVU,8,0,TRUE,,Form F 150,FALSE
5,6GPsVXETjAE,8,0,TRUE,,Grammerly,FALSE
6,34u1sOLrgVo,8,0,FALSE,,N/A,
7,NLypiQlLgyU,8,0,TRUE,,WIX website creator,FALSE
8,gsMl56yGKNk,8,0,TRUE,,Kia Seltos,FALSE
9,Z09h_r4BFUc,8,0,TRUE,,Purlator ,FALSE
10,2uEmsLA7PZA,8,0,TRUE,,Honda HRV,FALSE
11,pmn4PEh4KRU,8,0,TRUE,,GreyHound,FALSE
12,uAT23etgKKM,8,0,TRUE,,Jeep Wrangler,FALSE
13,qBtJYmrO8eE,8,0,TRUE,,Google Career Certification,FALSE
14,wN9B7ujJtOE,8,0,TRUE,,Adobe Premiere PRo,FALSE
15,RduAi0m4krM,8,0,TRUE,,Adobe Firefly,FALSE
16,wTuyYKWj7Mc,8,0,TRUE,,Royal Bank Canada,FALSE
17,ioxv34_t9c0,8,0,TRUE,,TD,FALSE
18,RD6vC2SmHoM,8,0,TRUE,,Rogers,FALSE
19,-G7sQLvc8OI,8,0,TRUE,,Disney ,FALSE
20,olLBXCptgWY,8,0,TRUE,,Toyota ,FALSE
21,pTJ873Fwj5M,8,0,TRUE,,Alfa Romeo ,FALSE
22,XQl11K6YqAI,8,0,TRUE,,Levi's,FALSE
23,XExho5_Yeyg,8,0,TRUE,,Ford,FALSE
24,EyUwmywKioc,8,0,TRUE,,reading Eggs ,FALSE
25,5H1EGrbgHMA,8,0,TRUE,,Reading Eggs,FALSE
26,mJeZJO45_e0,8,0,TRUE,,Five night at Freddy's,FALSE
27,UYwF91MSRfU,8,0,TRUE,,Cadillac SUV ,FALSE
28,mBqES8l37ns,8,0,TRUE,,Shopify,FALSE
29,B3iPPUchVWs,8,0,TRUE,,Pureflix ,FALSE
30,I_wfyNU36gw,8,0,TRUE,,"Vimeo
",FALSE
31,pXMWi3DJ_zk,8,0,TRUE,,TD,FALSE
32,8Ul2z5YFPtQ,8,0,TRUE,,Michaels,FALSE
33,QfT0clJas24,10,0,TRUE,,Online masterclass,FALSE
34,7QuYQKoRPiI,10,0,TRUE,,Advantage home health solutions,FALSE
35,_OPGg6YoPLo,10,0,TRUE,,Monster jam,FALSE
36,H3Uk9WAOI08,10,0,TRUE,,wix.com,FALSE
37,1I-Pl5UIdOE,10,0,TRUE,,Chrysler pacifica,FALSE
38,7vm03Eqrzds,10,0,TRUE,,Tims credit card,FALSE
39,t1bwnL9V0VA,10,0,TRUE,,Adaptive Mind game,FALSE
40,0v3mTXlDDZw,10,0,TRUE,,Walmart,FALSE
41,X3L3ylO0QrY,10,0,TRUE,,Ford F150,FALSE
42,8U-tFo7KqvY,10,0,TRUE,,Turo app,FALSE
43,NFHZHAo50ho,10,0,TRUE,,Kia,FALSE
44,bV9TqdBwZFw,10,0,TRUE,,Shopify,FALSE
45,ZUx31dyN37I,10,0,TRUE,,Michaels,FALSE
46,8f83eIeuGhk,10,0,TRUE,,Telus online security,FALSE
47,yYVPCQJnJKU,10,0,TRUE,,SAS viya,FALSE
48,s0lXOH8UxvM,10,0,TRUE,,Sleep country ,FALSE
49,cX-KJlFSsYQ,10,0,TRUE,,Apple products,FALSE
50,lwVk-W9ydfM,10,0,TRUE,,Skyscanner,FALSE
