user_upload,ad_id,video_id,labeller_id,ad_or_no,ad_brand,product,food_or_no
FALSE,1,pFsj5PUy4Xg,10,TRUE,,KIA,FALSE
FALSE,2,GybvOrEJk_4,10,TRUE,,Walmart,FALSE
FALSE,3,_XU34YuhGuA,10,TRUE,,Walmart,FALSE
FALSE,4,ZlHBQtYEdVU,8,TRUE,,Form F 150,FALSE
FALSE,5,6GPsVXETjAE,8,TRUE,,Grammerly,FALSE
FALSE,6,34u1sOLrgVo,8,FALSE,,N/A,
FALSE,7,NLypiQlLgyU,8,TRUE,,WIX website creator,FALSE
FALSE,8,gsMl56yGKNk,8,TRUE,,Kia Seltos,FALSE
FALSE,9,Z09h_r4BFUc,8,TRUE,,Purlator ,FALSE
FALSE,10,2uEmsLA7PZA,8,TRUE,,Honda HRV,FALSE
FALSE,11,pmn4PEh4KRU,8,TRUE,,GreyHound,FALSE
FALSE,12,uAT23etgKKM,8,TRUE,,Jeep Wrangler,FALSE
FALSE,13,qBtJYmrO8eE,8,TRUE,,Google Career Certification,FALSE
FALSE,14,wN9B7ujJtOE,8,TRUE,,Adobe Premiere PRo,FALSE
FALSE,15,RduAi0m4krM,8,TRUE,,Adobe Firefly,FALSE
FALSE,16,wTuyYKWj7Mc,8,TRUE,,Royal Bank Canada,FALSE
FALSE,17,ioxv34_t9c0,8,TRUE,,TD,FALSE
FALSE,18,RD6vC2SmHoM,8,TRUE,,Rogers,FALSE
FALSE,19,#NAME?,8,TRUE,,Disney ,FALSE
FALSE,20,olLBXCptgWY,8,TRUE,,Toyota ,FALSE
FALSE,21,pTJ873Fwj5M,8,TRUE,,Alfa Romeo ,FALSE
FALSE,22,XQl11K6YqAI,8,TRUE,,Levi's,FALSE
FALSE,23,XExho5_Yeyg,8,TRUE,,Ford,FALSE
FALSE,24,EyUwmywKioc,8,TRUE,,reading Eggs ,FALSE
FALSE,25,5H1EGrbgHMA,8,TRUE,,Reading Eggs,FALSE
FALSE,26,mJeZJO45_e0,8,TRUE,,Five night at Freddy's,FALSE
FALSE,27,UYwF91MSRfU,8,TRUE,,Cadillac SUV ,FALSE
FALSE,28,mBqES8l37ns,8,TRUE,,Shopify,FALSE
FALSE,29,B3iPPUchVWs,8,TRUE,,Pureflix ,FALSE
FALSE,30,I_wfyNU36gw,8,TRUE,,"Vimeo
",FALSE
FALSE,31,pXMWi3DJ_zk,8,TRUE,,TD,FALSE
FALSE,32,8Ul2z5YFPtQ,8,TRUE,,Michaels,FALSE
