technique_id,technique_name
1,Presence of children
2,Adult-child situations
3,Use of child language
4,Child themes/visual design
5,Unusual product appearance
6,Unusual product flavour
7,Appeals to fun/cool
8,Appeal to taste/texture
9,Branded characters
10,Licensed characters
11,Other cartoon characters
12,Celebrities/public figures
13,Cross-promotions
14,Games or activities
15,"Price promotions, incentives or giveaways"
16,Calls-to-action
17,Appeals to health or nutrition
18,Promotion of product convenience
19,Displays of corporate social responsibility
20,Other product claims
21,Advergames
22,Advercation
23,Special effects
24,Songs or music
25,Viral marketing
